keyword,opportunity,demand,competition,provider_hits
영국 여행 비자 신청 방법,0.888,1.32,0.96,1
영국 여행 eta 신청 방법,0.888,1.32,0.96,1
영국 여행 추천 도시,0.712,1.38,1.22,2
영국 런던 여행 코스 추천,0.671,1.265,1.1,1
영국 패키지 여행 가격,0.628,1.32,1.22,1
영국 여행 비자 가격,0.628,1.32,1.22,1
영국 여행 비행기 가격,0.628,1.32,1.22,1
영국 여행 후기 디시,0.614,1.21,1.08,1
영국 여행 추천 코스,0.551,1.265,1.22,1
영국 여행 추천 시기,0.551,1.265,1.22,1
영국 여행 선물 추천,0.551,1.265,1.22,1
영국 여행 숙소 추천,0.551,1.265,1.22,1
영국 여행 기간 추천,0.551,1.265,1.22,1
영국 여행 카드 추천,0.551,1.265,1.22,1
영국 여행 추천,0.431,1.265,1.34,1
영국 여행 비자 필요한가요,0.38,1.1,1.16,1
영국 여행 일정 짜기,0.38,1.1,1.16,1
영국 여행 가이드북 pdf,0.38,1.1,1.16,1
영국 여행 여행 코스,0.38,1.1,1.16,1
영국 여행 여행 일정,0.38,1.1,1.16,1
영국 여행 1일 코스,0.38,1.1,1.16,1
영국 여행 비용,0.26,1.1,1.28,1
영국 여행 코스,0.26,1.1,1.28,1
영국 여행 준비물,0.26,1.1,1.28,1
영국 여행 비자,0.26,1.1,1.28,1
영국 여행 루트,0.26,1.1,1.28,1
영국 여행 디시,0.26,1.1,1.28,1
영국 여행 추천지,0.26,1.1,1.28,1
영국 여행 가이드북,0.26,1.1,1.28,1
영국 여행 여행,0.26,1.1,1.28,1
영국 여행 일정,0.26,1.1,1.28,1
영국 여행 2박3일,0.26,1.1,1.28,1
영국 여행 3박4일,0.26,1.1,1.28,1
영국 여행 주말여행,0.26,1.1,1.28,1
영국 여행 근교,0.26,1.1,1.28,1
영국 여행 당일치기,0.26,1.1,1.28,1
영국 여행 핫플,0.26,1.1,1.28,1
영국 여행 포토스팟,0.26,1.1,1.28,1
영국 여행 인생샷,0.26,1.1,1.28,1
영국 여행 노을,0.26,1.1,1.28,1
영국 여행 야경,0.26,1.1,1.28,1
영국 여행 전망대,0.26,1.1,1.28,1
영국 여행 성수기,0.26,1.1,1.28,1
영국 여행 비수기,0.26,1.1,1.28,1
영국 여행 날씨,0.26,1.1,1.28,1
영국 여행 옷차림,0.26,1.1,1.28,1
영국 여행 렌터카,0.26,1.1,1.28,1
영국 여행 대중교통,0.26,1.1,1.28,1
영국 여행 주차,0.26,1.1,1.28,1
영국 여행 숙소,0.26,1.1,1.28,1
영국 여행 호텔,0.26,1.1,1.28,1
영국 여행 게하,0.26,1.1,1.28,1
영국 여행 펜션,0.26,1.1,1.28,1
영국 여행 캠핑,0.26,1.1,1.28,1
영국 여행 카페,0.26,1.1,1.28,1
영국 여행 맛집,0.26,1.1,1.28,1
영국 여행 베스트,0.26,1.1,1.28,1
영국 여행 예산,0.26,1.1,1.28,1
영국 여행 꿀팁,0.26,1.1,1.28,1
영국 여행 주의사항,0.26,1.1,1.28,1
영국 여행지,0.14,1.1,1.4,1
영국여행코스,0.0,0.33,2.2,1
